Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$]
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-12-21 (Price: 203.39)",Weekly,2026-03-12 (Price: 194.4),No Price Target,No Date Target,12.94%/15.84%,"-4.42%, 2.7 months","2026-04-17 (Price: 176.5100), 13.22% below",225.1934 (Historic Rise or Fall to Pivot)/219.5595 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/260.6036 (Backtested Max),2026-08-12 (Max)/2026-03-22 (Min)/2026-04-30 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.87,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,202.72,
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-23 (Price: 197.68)",Weekly,2026-03-12 (Price: 194.4),No Price Target,No Date Target,9.77%/12.59%,"-1.66%, 3.6 months","2026-04-17 (Price: 176.5100), 10.71% below",218.8713 (Historic Rise or Fall to Pivot)/213.3956 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/253.2874 (Backtested Max),2026-07-15 (Max)/2026-04-02 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.87,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,194.41,
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,2026-03-12 (Price: 194.4),No Price Target,No Date Target,8.24%/11.02%,"-0.27%, 3.9 months","2026-04-17 (Price: 176.5100), 9.45% below",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.87,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,184.95,
BASELINEDIVERGENCE,"DOL.TO, Long, 2026-01-04 (Price: 206.17)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,6.71%/15.14%,"-6.25%, 2.2 months","2026-04-17 (Price: 176.5100), 14.39% below",228.2714 (Historic Rise or Fall to Pivot)/222.5605 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/264.1656 (Backtested Max)/206.2525 (Backtested Min),2026-08-26 (Max)/2026-04-05 (Min)/2026-05-14 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,205.6,
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-12-21 (Price: 203.39)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,13.59%/16.51%,"-4.97%, 2.7 months","2026-04-17 (Price: 176.5100), 13.22% below",225.1934 (Historic Rise or Fall to Pivot)/219.5595 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/260.6036 (Backtested Max),2026-08-12 (Max)/2026-03-22 (Min)/2026-04-30 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,202.72,
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-23 (Price: 197.68)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,10.4%/13.23%,"-2.22%, 3.6 months","2026-04-17 (Price: 176.5100), 10.71% below",218.8713 (Historic Rise or Fall to Pivot)/213.3956 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/253.2874 (Backtested Max),2026-07-15 (Max)/2026-04-02 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,194.41,
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,8.87%/11.66%,"-0.84%, 3.8 months","2026-04-17 (Price: 176.5100), 9.45% below",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,184.95,
TRENDPULSE,"NFLX, Long, 2026-03-02 (Price: 97.09)",Daily,No Exit Yet,No Price Target,2026-03-12 (Min),6.42%/10.31%,"-2.86%, 10 days","2026-04-17 (Price: 97.3100), 0.23% above",100.3619 (Avg % Gain of Historic Winning trades)/113.66 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/110.06 (EMA 200)/104.0319 (Backtested Max),2026-06-22 (Max)/2026-04-23 (Avg),75.86/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"94.44%, Past 4 years, 18",No Information,No Information,No Information,No Information,No Information,2.01% below/2.86% below/2.86% below,7.15%/0.45%/3.37%,"0.57%, 20.2%",2.6 months/7 days/1.2 month,15.4%,9.17%,6.23%,1.08,0.47,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets),portfolio_target_achieved,95.26,
SIGMASHELL,"NFLX, Long, 2026-02-02 (Price: 82.76)",Daily,2026-03-10 (Price: 96.94),No Price Target,No Date Target,11.63%/15.81%,"13.96%, 1.3 month","2026-04-17 (Price: 97.3100), 17.58% above",105.279 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/109.22 (EMA 200)/119.4889 (Backtested Max),2026-11-20 (Max)/2026-04-29 (Min)/2026-06-16 (Avg),No Recent Minima/34.8663/77.567/72.1834/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5","-3.5, 60.0%",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,64.2%,22.33%,41.87%,2.41,0.93,70.0%/40/4.3 months (Across ALL Assets),65.83%/240/3.7 months (Across ALL Assets),portfolio_target_achieved,83.53,
SIGMASHELL,"NFLX, Long, 2026-01-02 (Price: 90.99)",Daily,2026-03-10 (Price: 96.94),No Price Target,No Date Target,4.53%/9.03%,"3.65%, 2.3 months","2026-04-17 (Price: 97.3100), 6.95% above",98.5786 (Historic Rise or Fall to Pivot)/115.7484 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/109.22 (EMA 200)/131.3714 (Backtested Max)/102.8278 (Backtested Min),2026-10-20 (Max)/2026-03-29 (Min)/2026-05-16 (Avg),85.59/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5","-5.54, 70.83%",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,64.2%,22.33%,41.87%,2.41,0.93,70.0%/40/4.3 months (Across ALL Assets),65.83%/240/3.7 months (Across ALL Assets),portfolio_target_achieved,94.13,
SIGMASHELL,"NFLX, Long, 2025-12-03 (Price: 103.96)",Daily,2026-03-10 (Price: 96.94),No Price Target,No Date Target,15.81%/19.43%,"-9.28%, 3.3 months","2026-04-17 (Price: 97.3100), 6.40% below",112.6303 (Historic Rise or Fall to Pivot)/132.2475 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/109.22 (EMA 200)/150.0974 (Backtested Max)/117.4852 (Backtested Min),2026-09-20 (Max)/2026-04-16 (Avg),85.59/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5","-3.77, 63.64%",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,64.2%,22.33%,41.87%,2.41,0.93,70.0%/40/4.3 months (Across ALL Assets),65.83%/240/3.7 months (Across ALL Assets),portfolio_target_achieved,106.59,
DELTADRIFT,"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",Weekly,No Exit Yet,No Price Target,2026-03-11 (Min),8.34%/11.61%,"-3.85%, 11 days","2026-04-17 (Price: 8.2500), 22.61% below",13.0628 (Historic Rise or Fall to Pivot)/11.5927 (Avg % Gain of Historic Winning trades)/12.33 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.44 (EMA 200)/12.8208 (Backtested Max)/11.1045 (Backtested Min),2026-07-31 (Max)/2026-06-04 (Avg),10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 14 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2.34%,11.18%,-8.84%,0.05,0.61,76.92%/13/2.5 months (Across ALL Assets),86.09%/115/2.3 months (Across ALL Assets),portfolio_target_achieved,10.5,
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-12 (Price: 10.25),No Price Target,No Date Target,36.19%/37.01%,"-20.11%, 1.3 year","2026-04-17 (Price: 8.2500), 35.70% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,14.23% below/18.33% below/20.11% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.7 months (Across ALL Assets),63.49%/126/9.6 months (Across ALL Assets),portfolio_target_achieved,12.4,
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-12 (Price: 10.25),No Price Target,No Date Target,31.52%/32.31%,"-17.27%, 1.4 year","2026-04-17 (Price: 8.2500), 33.41% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,14.23% below/17.27% below/17.27% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.7 months (Across ALL Assets),63.49%/126/9.6 months (Across ALL Assets),portfolio_target_achieved,11.89,
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-12 (Price: 10.25),No Price Target,No Date Target,26.84%/27.61%,"-14.23%, 1.5 year","2026-04-17 (Price: 8.2500), 30.96% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,14.23% below/14.23% below/14.23% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,91.46%/82/11.7 months (Across ALL Assets),63.49%/126/9.6 months (Across ALL Assets),portfolio_target_achieved,11.3,
DELTADRIFT,"ORCL, Long, 2026-02-15 (Price: 160.14)",Weekly,No Exit Yet,No Price Target,2026-03-10 (Avg),10.36%/12.89%,"-0.61%, 25 days","2026-04-17 (Price: 175.0600), 9.32% above",214.1232 (Historic Rise or Fall to Pivot)/179.6771 (Avg % Gain of Historic Winning trades)/196.9 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/220.36 (EMA 200)/182.3834 (Backtested Max)/175.6416 (Backtested Min),2026-03-17 (Max),142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,5.26%,6.77%,-1.51%,0.27,0.34,76.92%/13/2.5 months (Across ALL Assets),86.09%/115/2.3 months (Across ALL Assets),portfolio_target_achieved,148.49,
TRENDPULSE,"ORCL, Long, 2026-03-06 (Price: 152.96)",Daily,No Exit Yet,No Price Target,2026-03-14 (Min),2.38%/9.19%,"4.05%, 6 days","2026-04-17 (Price: 175.0600), 14.45% above",162.9483 (Historic Rise or Fall to Pivot)/268.62 (Function Specific Target)/300.069 (F-Stack 1)/370.6658 (F-Stack 2)/220.39 (EMA 200)/173.7932 (Backtested Max),2026-07-23 (Max)/2026-03-14 (Min)/2026-04-27 (Avg),141.31/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,2.82% above/4.05% above/4.05% above,13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,18.7%,11.12%,7.58%,0.94,0.53,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets),portfolio_target_achieved,152.92,
TRENDPULSE,"ORCL, Long, 2025-09-21 (Price: 308.66)",Weekly,No Exit Yet,No Price Target,2026-03-13 (Avg),97.65%/108.77%,"-48.44%, 5.7 months","2026-04-17 (Price: 175.0600), 43.28% below",348.971 (Historic Rise or Fall to Pivot)/332.2725 (Avg % Gain of Historic Winning trades)/468.66 (Function Specific Target)/376.1425 (F-Stack 2)/374.2502 (Backtested Max)/314.5863 (Backtested Min),2028-01-03 (Max)/2026-03-13 (Avg),226.13/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/188.37,"93.33%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,45.53% below/48.44% below/48.44% below,21.25%/1.92%/7.65%,"11.71%, 25.99%",1.6 year/28 days/4 months,9.45%,6.74%,2.71%,0.83,0.34,89.4%/151/4.7 months (Across ALL Assets),75.56%/266/3.6 months (Across ALL Assets),portfolio_target_achieved,306.45,
TRENDPULSE,"MA, Long, 2026-01-07 (Price: 579.92)",Daily,No Exit Yet,No Price Target,2026-03-13 (Avg),17.7%/17.82%,"-14.25%, 2.1 months","2026-04-17 (Price: 521.3000), 10.11% below",585.3133 (Historic Rise or Fall to Pivot)/601.493 (Avg % Gain of Historic Winning trades)/593.03 (Function Specific Target)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/625.2118 (Backtested Max)/585.9512 (Backtested Min),2026-06-08 (Max)/2026-03-13 (Avg),563.13/305.0867/554.0572/515.4888/No F-Track Level/No F-Track Level/561.98,"82.14%, Past 4 years, 28",No Information,No Information,No Information,No Information,No Information,12.53% below/14.25% below/14.25% below,7.81%/1.04%/3.72%,"12.46%, 28.57%",3.5 months/4 days/1.5 month,2.92%,5.97%,-3.05%,0.25,0.31,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets),portfolio_target_achieved,579.27,
OSCILLATOR DELTA,"MA, Long, 2026-03-04 (Price: 522.92)",Daily,No Exit Yet,No Price Target,2026-03-12 (Min),11.1%/12.47%,"-4.9%, 8 days","2026-04-17 (Price: 521.3000), 0.31% below",576.2055 (Historic Rise or Fall to Pivot)/578.8724 (Avg % Gain of Historic Winning trades)/627.5 (Function Specific Target)/592.095 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/559.3 (EMA 200)/623.1638 (Backtested Max)/552.5173 (Backtested Min),2026-11-15 (Max)/2026-05-25 (Avg),No Recent Minima/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,"82.35%, Past 6 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,19.17%/5.66%/10.7%,"12.38%, 17.31%",5.9 months/6 days/1.9 month,17.15%,7.39%,9.76%,0.56,0.38,97.67%/43/29 days (Across ALL Assets),80.68%/409/26 days (Across ALL Assets),portfolio_target_achieved,524.16,
DELTADRIFT,"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",Weekly,2026-03-12 (Price: 832.75),No Price Target,2026-03-13 (Min),16.43%/16.98%,"-10.38%, 1.3 month","2026-04-17 (Price: 799.9000), 13.92% below",1065.7568 (Historic Rise or Fall to Pivot)/1008.7938 (Avg % Gain of Historic Winning trades)/1037.28 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/969.55 (EMA 200)/1038.0652 (Backtested Max)/974.1328 (Backtested Min),2026-05-11 (Max)/2026-03-13 (Min)/2026-04-15 (Avg),916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,12.02%,10.83%,1.19%,2.91,0.65,76.92%/13/2.5 months (Across ALL Assets),86.09%/115/2.3 months (Across ALL Assets),portfolio_target_achieved,906.0,
BASELINEDIVERGENCE,"HDFCBANK.NS, Long, 2025-12-14 (Price: 1001.5)",Weekly,No Exit Yet,No Price Target,2026-03-15 (Min),20.32%/21.24%,"-16.85%, 2.9 months","2026-04-17 (Price: 799.9000), 20.13% below",1105.8563 (Historic Rise or Fall to Pivot)/1078.1147 (Avg % Gain of Historic Winning trades)/1098.0619 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1310.8633 (Backtested Max)/1002.0007 (Backtested Min),2026-10-14 (Max)/2026-03-15 (Min)/2026-04-27 (Avg),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/969.55,"82.0%, Past 10 years, 150",No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,30.89%/0.05%/7.65%,"18.53%, 37.24%",7 months/2.1 months/3.1 months,21.18%,9.63%,11.55%,0.72,0.57,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,1000.0,
FRACTAL TRACK,"SONY, Long, 2026-02-09 (Price: 22.33)",Daily,No Exit Yet,No Price Target,2026-03-11 (Min),10.83%/14.5%,"-3.9%, 1 month","2026-04-17 (Price: 21.7000), 2.82% below",23.7837 (Historic Rise or Fall to Pivot)/24.9091 (Avg % Gain of Historic Winning trades)/31.52 (Function Specific Target)/26.85 (Horizontal)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/26.21 (EMA 200)/25.4741 (Backtested Max)/24.5719 (Backtested Min),2030-07-14 (Max)/2026-10-14 (Avg),21.24/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 5 years, 12",No Information,No Information,No Information,"61.8% (Price: 20.8735), 2.81% above, Upmove Bounce Back","2024-05-10 (Price: 15.022), 2025-11-12 (Price: 30.34)",No Information,14.08%/10.04%/11.55%,"5.03%, 43.88%",3.1 years/21 days/5.7 months,19.13%,6.23%,12.9%,1.28,0.32,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets),portfolio_target_achieved,22.13,
FRACTAL TRACK,"SONY, Long, 2026-02-22 (Price: 21.93)",Weekly,No Exit Yet,No Price Target,2026-03-14 (Min),6.99%/18.15%,"-2.14%, 18 days","2026-04-17 (Price: 21.7000), 1.05% below",22.9607 (Historic Rise or Fall to Pivot)/25.3555 (Avg % Gain of Historic Winning trades)/31.12 (Function Specific Target)/26.85 (Horizontal)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/26.21 (EMA 200)/26.8555 (Backtested Max),2042-04-11 (Max)/2026-03-14 (Min)/2027-12-31 (Avg),21.82/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 18",No Information,No Information,No Information,"61.8% (Price: 20.8735), 2.81% above, Upmove Bounce Back","2024-05-12 (Price: 15.022), 2025-11-16 (Price: 30.34)",No Information,22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,9.4%,4.91%,4.49%,2.5,0.26,95.45%/66/1.4 year (Across ALL Assets),56.38%/149/7.4 months (Across ALL Assets),portfolio_target_achieved,22.71,
TRENDPULSE,"TRI.TO, Long, 2026-03-06 (Price: 151.44)",Daily,No Exit Yet,No Price Target,2026-03-14 (Min),12.55%/16.12%,"-10.62%, 6 days","2026-04-17 (Price: 127.4500), 15.84% below",159.1029 (Historic Rise or Fall to Pivot)/157.1644 (Avg % Gain of Historic Winning trades)/240.12 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/368.7715 (F-Stack 2)/214.26 (EMA 200)/162.8586 (Backtested Max)/152.3335 (Backtested Min),2026-11-04 (Max)/2026-03-14 (Min)/2026-05-14 (Avg),110.84/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,5.3% below/10.62% below/10.62% below,7.54%/0.59%/3.78%,"-0.0%, 12.09%",5.6 months/6 days/1.6 month,13.47%,0.63%,12.84%,1.42,-0.04,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets),portfolio_target_achieved,147.39,
